Time,CH4 emissions,CO2 emissions,Unit
0,0.0,37.5,kgc
1,2.092719014474767,2.092719014474767,kgc
2,1.952575882521355,1.952575882521355,kgc
3,2.7327265753072716,0.9109088584357572,kgc
4,2.5497240516110917,0.8499080172036972,kgc
5,2.3789766594680373,0.7929922198226791,kgc
6,2.219663709379711,0.7398879031265704,kgc
7,2.0710194709682295,0.6903398236560765,kgc
8,1.9323294925284724,0.6441098308428241,kgc
9,1.8029271670486313,0.6009757223495438,kgc
10,1.682190528194372,0.5607301760647907,kgc
11,1.5695392608560752,0.5231797536186917,kgc
12,1.4644319118910163,0.48814397063033876,kgc
13,1.3663632876536385,0.4554544292178795,kgc
14,1.2748620258055405,0.42495400860184684,kgc
15,1.1894883297340213,0.39649610991134043,kgc
16,1.1098318546898556,0.3699439515632852,kgc
