Time;CH4 emissions;N2O emissions;CO2 emissions;Unit
0;0.0020186415749999997;0.00035821128850000003;2.122781358425;w/m2
1;0.004773885354187575;0.0006447917899193585;3.8249777019203544;w/m2
2;0.015360186879148892;0.0011191742099566822;6.66247009126497;w/m2
3;0.033635456355092075;0.0011867056142553045;7.121929482758933;w/m2
4;0.0654657125842383;0.0012940813028760338;7.861313340106219;w/m2
5;0.10680547004763558;0.0013795087929230217;8.50230368253592;w/m2
6;0.15557498012388954;0.0014542487555033873;9.10457851899774;w/m2
7;0.2098617791647211;0.0015186662930832383;9.664005136753124;w/m2
8;0.26811027086043554;0.0015744085894792835;10.185197941892957;w/m2
9;0.32903473210440715;0.0016226888573945826;10.671095469373586;w/m2
