Time;Site 1, Stockage, Landfilled industrial P&P;Site 2, Stockage, Landfilled, MSW P&P;Site 2, Stockage Landfilled, MSW Sawnwood;Site 1, Stockage, Landfilled, industrial Sawnwood;Site 2, A, Landfilled MSW Panels;Site 1, Stockage, Landfilled, industrial Panels;Site 2, Stockage, Landfilled, MSW Otherwood;Site 1, Stockage, industrial Otherwood;Unit
0;;;0.0;0.0;;0.0;0.0;0.0;tC
1;;;0.0;0.0;;0.0;0.0;0.0;tC
2;;;0.0;0.0;;0.0;0.0;0.0;tC
3;;;0.0;0.0;;0.0;0.0;0.0;tC
4;;;0.0;0.0;;0.0;0.0;0.0;tC
5;;;0.0;0.0;;0.0;0.0;0.0;tC
6;;;0.0;0.0;;0.0;0.0;0.0;tC
7;;;0.0;0.0;;0.0;0.0;0.0;tC
8;;;0.0;0.0;;0.0;0.0;0.0;tC
9;;;0.0;0.0;;0.0;0.0;0.0;tC
