Time;Papers, storage;Cardboards, storage;Others P&P, storage;Other Sawnwood, storage;Engineered wood, storage;Structural Panels, storage;Non-structural Panels, storage;Otherwood, storage;Unit
0;2.5;2.5;;0.0;0.0;0.0;0.0;0.0;tC
1;3.767766952966369;3.767766952966369;;0.0;0.0;0.0;0.0;0.0;tC
2;5.664213562373095;6.5868272016354705;;0.0;0.0;0.0;0.0;0.0;tC
3;4.005203820042827;6.048067452927977;;0.0;0.0;0.0;0.0;0.0;tC
4;2.8321067811865475;6.4804772413555565;;0.0;0.0;0.0;0.0;0.0;tC
5;2.0026019100214136;6.311794851760241;;0.0;0.0;0.0;0.0;0.0;tC
6;1.4160533905932737;5.957093925157258;;0.0;0.0;0.0;0.0;0.0;tC
7;1.0013009550107068;5.481448669424861;;0.0;0.0;0.0;0.0;0.0;tC
8;0.7080266952966369;4.95717438486127;;0.0;0.0;0.0;0.0;0.0;tC
9;0.5006504775053534;4.4259032419298725;;0.0;0.0;0.0;0.0;0.0;tC
